Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
JQ35849,California,5360.557066,No,Basic,High School or Below,1/21/11,Employed,M,24254,Suburban,Married,68,11,84,0,5,Personal Auto,Personal L3,Offer4,Agent,326.4,Four-Door Car,Medsize
LW12893,California,7911.626107,No,Basic,High School or Below,2/25/11,Employed,F,43916,Suburban,Divorced,68,10,59,2,2,Personal Auto,Personal L2,Offer2,Call Center,326.4,Four-Door Car,Small
HR64684,Oregon,8689.822524,No,Extended,Master,8/2/2011,Unemployed,M,0,Suburban,Divorced,99,25,57,5,2,Personal Auto,Personal L2,Offer1,Agent,475.2,Four-Door Car,Medsize
EV78251,Oregon,7163.540342,No,Basic,Doctor,1/1/2011,Unemployed,F,0,Suburban,Single,66,8,11,0,2,Personal Auto,Personal L3,Offer4,Branch,316.8,Two-Door Car,Small
FX95323,Oregon,2639.644171,No,Basic,College,1/31/11,Employed,M,88731,Rural,Married,66,10,72,0,1,Personal Auto,Personal L3,Offer4,Agent,148.971857,Four-Door Car,Medsize
LW64678,California,51016.06704,No,Premium,Master,2/19/11,Employed,F,25167,Urban,Married,140,3,76,0,2,Personal Auto,Personal L3,Offer2,Agent,422.494292,SUV,Small
LN44535,Washington,7284.445594,No,Extended,College,3/1/2011,Employed,F,44605,Suburban,Married,91,3,45,0,7,Personal Auto,Personal L3,Offer1,Branch,436.8,Four-Door Car,Medsize
KG81168,Arizona,2826.307641,No,Basic,Bachelor,12/1/2011,Employed,M,65090,Rural,Married,71,28,3,0,1,Personal Auto,Personal L3,Offer3,Agent,73.995096,Four-Door Car,Medsize
NN68193,Washington,5391.078171,No,Extended,College,2/20/11,Employed,M,21440,Suburban,Married,135,7,19,0,1,Personal Auto,Personal L3,Offer3,Agent,972.0,SUV,Medsize
FV83989,Arizona,2453.570794,Yes,Basic,Bachelor,9/2/2011,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize
NS39326,California,4625.548098,No,Basic,College,2/28/11,Employed,F,66670,Urban,Married,114,23,6,0,1,Personal Auto,Personal L3,Offer3,Agent,518.180364,SUV,Medsize
BI81476,Oregon,10346.11154,No,Extended,High School or Below,9/2/2011,Employed,F,55906,Rural,Married,86,26,3,0,2,Personal Auto,Personal L2,Offer3,Agent,58.469264,Four-Door Car,Medsize
LC86277,Oregon,3336.219942,No,Extended,High School or Below,6/1/2011,Disabled,M,19447,Suburban,Married,89,6,6,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,640.8,Four-Door Car,Medsize
NP66209,California,14827.91055,No,Basic,College,8/2/2011,Unemployed,F,0,Suburban,Married,68,31,69,2,2,Personal Auto,Personal L3,Offer2,Call Center,326.4,Two-Door Car,Medsize
GE46404,Oregon,2709.539796,No,Basic,College,1/17/11,Employed,F,58828,Suburban,Married,68,13,98,0,1,Personal Auto,Personal L3,Offer1,Agent,446.751243,Four-Door Car,Small
NB96938,Oregon,4958.016206,No,Basic,College,11/2/2011,Medical Leave,M,22842,Suburban,Married,65,20,53,0,9,Personal Auto,Personal L2,Offer1,Agent,468.0,Four-Door Car,Medsize
HZ84382,Oregon,8283.843281,No,Premium,Master,2/24/11,Employed,M,94851,Rural,Single,104,6,33,0,3,Personal Auto,Personal L3,Offer1,Call Center,190.998822,Four-Door Car,Small
JL49772,Arizona,24249.33685,No,Basic,Bachelor,6/2/2011,Employed,F,33651,Urban,Married,69,21,37,1,2,Personal Auto,Personal L2,Offer1,Call Center,328.65413,Four-Door Car,Medsize
WX10701,Washington,3459.230941,No,Extended,Bachelor,7/1/2011,Unemployed,M,0,Suburban,Married,96,6,8,0,1,Corporate Auto,Corporate L3,Offer3,Web,460.8,Four-Door Car,Medsize
SL98898,Nevada,9048.983447,Yes,Basic,High School or Below,1/24/11,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L1,Offer2,Web,571.2,Sports Car,Medsize
PU73561,Arizona,4196.429642,No,Basic,Bachelor,2/14/11,Employed,F,24641,Suburban,Married,105,12,82,0,1,Personal Auto,Personal L2,Offer2,Agent,504.0,SUV,Medsize
PZ75671,Oregon,7223.689647,No,Extended,College,1/28/11,Unemployed,F,0,Suburban,Married,97,31,58,0,3,Personal Auto,Personal L1,Offer1,Web,465.6,Four-Door Car,Medsize
XH97711,California,2430.506586,No,Basic,Bachelor,1/14/11,Employed,M,83140,Urban,Married,61,25,70,0,1,Corporate Auto,Corporate L3,Offer4,Agent,179.161843,Four-Door Car,Medsize
GS76685,California,10408.96865,Yes,Basic,High School or Below,2/18/11,Retired,M,20228,Suburban,Divorced,101,3,43,1,2,Corporate Auto,Corporate L3,Offer1,Branch,523.815839,SUV,Medsize
AQ46199,Oregon,4825.258632,No,Basic,High School or Below,7/1/2011,Unemployed,M,0,Suburban,Single,71,8,30,0,8,Personal Auto,Personal L2,Offer4,Web,511.2,Two-Door Car,Medsize
LO48126,Oregon,2467.129805,No,Basic,High School or Below,1/17/11,Employed,F,23845,Suburban,Married,61,33,34,0,1,Personal Auto,Personal L3,Offer2,Call Center,292.8,Four-Door Car,Large
RY44243,California,5945.616886,No,Basic,College,1/17/11,Employed,F,65602,Rural,Married,73,11,14,0,3,Personal Auto,Personal L2,Offer3,Agent,61.570877,Four-Door Car,Medsize
OH15780,California,12280.76661,Yes,Premium,College,1/1/2011,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L2,Offer1,Branch,489.6,Two-Door Car,Medsize
PX45824,Washington,4966.848441,No,Basic,College,2/13/11,Unemployed,M,0,Suburban,Single,74,25,60,0,9,Personal Auto,Personal L2,Offer1,Agent,532.8,Four-Door Car,Medsize
NB86692,Nevada,2690.477161,No,Basic,College,2/1/2011,Employed,F,60060,Urban,Married,67,24,12,0,1,Personal Auto,Personal L3,Offer4,Web,320.629479,Four-Door Car,Medsize
BL93659,California,5815.049178,No,Extended,Bachelor,2/14/11,Unemployed,M,0,Suburban,Married,80,17,96,0,5,Personal Auto,Personal L2,Offer1,Call Center,384.0,Four-Door Car,Medsize
VG43444,Oregon,3837.492458,No,Extended,Bachelor,1/2/2011,Employed,M,36794,Suburban,Single,99,0,75,0,1,Personal Auto,Personal L3,Offer1,Agent,712.8,Four-Door Car,Large
GU82757,California,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,60.036683,Four-Door Car,Medsize
QN62538,Nevada,4803.935174,No,Basic,High School or Below,2/24/11,Unemployed,M,0,Suburban,Single,69,31,25,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,496.8,Four-Door Car,Small
YI68606,Oregon,2442.200921,No,Basic,High School or Below,12/2/2011,Employed,F,75449,Rural,Divorced,61,3,31,0,1,Corporate Auto,Corporate L3,Offer3,Agent,130.775164,Two-Door Car,Medsize
SY48471,California,5163.838813,No,Basic,High School or Below,2/22/11,Employed,F,88692,Urban,Married,64,29,26,0,5,Personal Auto,Personal L2,Offer1,Agent,253.193647,Four-Door Car,Medsize
CE94751,California,4568.819387,No,Basic,College,6/2/2011,Unemployed,M,0,Suburban,Single,70,5,33,1,7,Personal Auto,Personal L3,Offer1,Branch,524.836298,Two-Door Car,Medsize
YH86390,California,4815.009736,No,Basic,Bachelor,1/16/11,Disabled,F,25398,Suburban,Divorced,64,30,80,0,6,Corporate Auto,Corporate L3,Offer2,Agent,307.2,Four-Door Car,Medsize
GA49547,Washington,5363.076547,No,Basic,High School or Below,2/18/11,Employed,M,36357,Rural,Married,68,28,96,0,6,Personal Auto,Personal L3,Offer1,Branch,17.269323,Four-Door Car,Medsize
KX17826,Oregon,4670.047979,No,Extended,Doctor,2/25/11,Unemployed,M,0,Suburban,Married,125,21,34,0,1,Corporate Auto,Corporate L3,Offer1,Branch,600.0,SUV,Medsize
TM13955,Washington,2993.024583,No,Extended,Master,2/15/11,Unemployed,M,0,Urban,Married,80,28,97,0,1,Corporate Auto,Corporate L3,Offer1,Branch,286.115778,Four-Door Car,Medsize
TW81986,Arizona,5632.613078,No,Extended,Bachelor,1/20/11,Employed,F,51721,Urban,Married,139,18,98,0,1,Personal Auto,Personal L2,Offer2,Agent,625.282599,SUV,Medsize
IJ52285,Arizona,6135.083838,No,Extended,Master,9/1/2011,Employed,F,43579,Suburban,Single,77,12,17,0,8,Personal Auto,Personal L2,Offer1,Agent,452.095421,Two-Door Car,Small
YV76240,Oregon,10677.25385,No,Extended,College,4/1/2011,Employed,F,45732,Urban,Married,134,22,56,0,9,Corporate Auto,Corporate L2,Offer1,Call Center,611.918994,SUV,Large
JM30137,Washington,16793.9728,No,Extended,College,9/2/2011,Unemployed,F,0,Suburban,Single,238,29,90,1,4,Personal Auto,Personal L3,Offer2,Call Center,1142.4,Luxury Car,Large
ZI73222,California,15700.28436,No,Extended,High School or Below,1/2/2011,Unemployed,M,0,Suburban,Married,211,31,52,0,5,Personal Auto,Personal L3,Offer1,Web,1012.8,Luxury SUV,Medsize
DI51103,Washington,2711.899826,No,Basic,High School or Below,11/2/2011,Unemployed,F,0,Suburban,Single,74,13,68,0,1,Personal Auto,Personal L1,Offer2,Call Center,355.2,Four-Door Car,Small
CC92362,California,8936.370357,No,Premium,Bachelor,6/1/2011,Disabled,M,18141,Suburban,Married,116,2,87,0,3,Personal Auto,Personal L3,Offer2,Call Center,722.404711,Four-Door Car,Small
WH80404,California,17250.74771,No,Basic,High School or Below,1/28/11,Employed,M,22276,Suburban,Married,111,19,73,1,2,Personal Auto,Personal L2,Offer3,Call Center,783.211084,SUV,Medsize
UV48386,California,2698.048753,No,Basic,Master,1/25/11,Employed,M,40154,Suburban,Married,67,24,17,0,1,Corporate Auto,Corporate L1,Offer1,Branch,360.670642,Four-Door Car,Medsize
CO25601,Washington,4112.625047,No,Basic,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single,71,16,90,3,9,Personal Auto,Personal L2,Offer1,Agent,569.761582,Four-Door Car,Medsize
IA56290,Arizona,2516.103555,No,Basic,College,11/2/2011,Employed,F,88435,Rural,Married,62,16,61,0,1,Personal Auto,Personal L3,Offer3,Branch,136.263492,Four-Door Car,Small
LB19360,Nevada,4170.687348,Yes,Basic,Master,1/17/11,Employed,F,29462,Suburban,Single,107,28,23,1,1,Personal Auto,Personal L1,Offer2,Branch,513.6,SUV,Large
GO56075,Oregon,7589.634,No,Basic,High School or Below,1/24/11,Unemployed,M,0,Suburban,Married,69,30,97,0,2,Personal Auto,Personal L3,Offer1,Branch,331.2,Four-Door Car,Small
XS47087,Oregon,11714.78278,No,Basic,College,1/22/11,Disabled,M,21102,Suburban,Married,100,0,81,0,2,Personal Auto,Personal L2,Offer1,Agent,480.0,SUV,Medsize
SM67119,California,7123.694599,No,Basic,College,2/24/11,Disabled,F,16139,Suburban,Married,62,19,69,0,2,Personal Auto,Personal L3,Offer1,Branch,297.6,Four-Door Car,Large
OT50011,California,2671.166649,No,Basic,Master,1/26/11,Medical Leave,F,23305,Rural,Married,68,25,26,0,1,Personal Auto,Personal L2,Offer2,Branch,127.157137,Four-Door Car,Medsize
HF88410,Washington,7703.397294,No,Basic,High School or Below,2/28/11,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,Medsize
FU51754,Arizona,5568.947534,Yes,Extended,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single,79,21,53,1,7,Personal Auto,Personal L2,Offer1,Agent,407.440238,Two-Door Car,Medsize
LE65901,Oregon,4434.941371,No,Basic,Bachelor,2/20/11,Employed,F,58082,Rural,Married,112,31,66,1,1,Personal Auto,Personal L3,Offer1,Call Center,103.022126,SUV,Medsize
LY19199,Oregon,4815.532839,No,Basic,Bachelor,1/26/11,Employed,M,80355,Rural,Divorced,62,26,33,1,3,Corporate Auto,Corporate L3,Offer1,Branch,83.390706,Two-Door Car,Medsize
HZ64168,California,40440.76481,No,Extended,Bachelor,2/15/11,Unemployed,M,0,Suburban,Single,129,23,59,0,2,Personal Auto,Personal L3,Offer1,Call Center,1191.319334,SUV,Medsize
ES21306,California,8558.927723,No,Extended,Bachelor,1/2/2011,Unemployed,M,0,Suburban,Single,125,10,43,0,9,Personal Auto,Personal L3,Offer1,Branch,615.562164,SUV,Small
AQ70385,Oregon,5686.961001,No,Basic,High School or Below,1/13/11,Employed,M,30242,Rural,Married,72,30,23,0,3,Personal Auto,Personal L3,Offer2,Branch,48.288036,Four-Door Car,Medsize
KH58171,California,2551.226692,Yes,Basic,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small
DC37886,Arizona,24338.51185,No,Basic,High School or Below,2/23/11,Employed,F,73692,Rural,Married,67,1,10,0,2,Personal Auto,Personal L1,Offer2,Branch,24.843535,Two-Door Car,Medsize
XV21647,California,8036.45034,No,Basic,High School or Below,1/2/2011,Unemployed,F,0,Suburban,Single,112,7,42,0,9,Personal Auto,Personal L1,Offer1,Branch,806.4,Sports Car,Medsize
TK59338,Arizona,13559.39395,No,Basic,College,3/1/2011,Employed,M,98036,Suburban,Married,113,18,92,0,2,Personal Auto,Personal L2,Offer2,Agent,662.444819,SUV,Medsize
OI44122,California,8845.185533,No,Basic,Bachelor,2/14/11,Employed,M,45600,Suburban,Married,113,6,96,0,3,Personal Auto,Personal L2,Offer1,Agent,617.936885,SUV,Medsize
EI58541,Washington,2719.506996,Yes,Basic,College,1/24/11,Retired,F,14030,Suburban,Married,72,11,3,0,1,Personal Auto,Personal L3,Offer2,Branch,345.6,Two-Door Car,Large
SW74846,Washington,7414.436023,No,Basic,Bachelor,5/2/2011,Employed,F,62473,Suburban,Married,185,25,29,0,1,Personal Auto,Personal L2,Offer4,Web,1298.853615,Luxury SUV,Medsize
NE13752,Arizona,8232.760182,No,Basic,Bachelor,12/1/2011,Employed,M,56021,Urban,Married,69,20,38,0,2,Personal Auto,Personal L3,Offer1,Agent,279.51121,Four-Door Car,Medsize
TY87896,California,11875.89915,No,Basic,High School or Below,1/23/11,Unemployed,M,0,Suburban,Married,108,23,55,0,2,Personal Auto,Personal L2,Offer2,Branch,518.4,SUV,Medsize
UV48189,California,8476.082867,No,Basic,Bachelor,1/22/11,Employed,M,28181,Suburban,Married,109,32,41,0,3,Personal Auto,Personal L2,Offer3,Call Center,523.2,SUV,Medsize
QV24282,California,5363.531017,No,Basic,Bachelor,1/20/11,Employed,F,43879,Urban,Single,69,19,60,0,5,Corporate Auto,Corporate L3,Offer1,Branch,242.133552,Four-Door Car,Medsize
QZ77637,Washington,11665.09779,No,Basic,College,6/2/2011,Employed,F,84978,Rural,Married,72,12,51,1,2,Corporate Auto,Corporate L1,Offer1,Agent,166.77296,Four-Door Car,Large
DB28979,California,7478.313695,No,Basic,Bachelor,1/26/11,Employed,M,23530,Suburban,Divorced,65,22,34,0,2,Corporate Auto,Corporate L3,Offer3,Agent,312.0,Two-Door Car,Medsize
CA29908,Oregon,18522.29433,No,Basic,High School or Below,2/1/2011,Employed,M,65903,Suburban,Married,66,4,98,0,2,Personal Auto,Personal L3,Offer3,Agent,316.8,Four-Door Car,Medsize
MY11682,California,7098.017093,No,Basic,Bachelor,2/17/11,Employed,M,37511,Urban,Married,185,14,93,2,1,Personal Auto,Personal L3,Offer3,Call Center,579.467191,Luxury Car,Medsize
IS79761,Oregon,3815.851163,No,Extended,High School or Below,5/1/2011,Employed,M,38651,Suburban,Single,98,12,83,0,1,Personal Auto,Personal L3,Offer3,Branch,470.4,Two-Door Car,Medsize
DB75522,California,6988.401604,No,Extended,College,2/26/11,Employed,F,22436,Suburban,Married,89,24,21,0,3,Special Auto,Special L2,Offer2,Branch,427.2,Four-Door Car,Small
VB69838,Oregon,41787.90343,Yes,Premium,High School or Below,1/31/11,Employed,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Medsize
LQ28707,Oregon,22658.53652,Yes,Basic,Bachelor,1/25/11,Retired,M,23665,Suburban,Married,67,19,50,0,2,Personal Auto,Personal L3,Offer1,Branch,404.817249,Four-Door Car,Medsize
EQ59908,California,3237.996209,Yes,Extended,Master,1/16/11,Employed,M,60244,Urban,Married,83,3,72,3,1,Corporate Auto,Corporate L3,Offer3,Agent,326.281835,Four-Door Car,Medsize
HG33568,Arizona,7482.639506,No,Basic,Master,2/14/11,Employed,F,25666,Urban,Married,63,7,30,2,2,Personal Auto,Personal L3,Offer4,Call Center,270.002766,Four-Door Car,Medsize
QB47024,Washington,5898.733666,No,Extended,Bachelor,2/17/11,Employed,F,53998,Suburban,Divorced,78,5,38,5,8,Personal Auto,Personal L3,Offer1,Call Center,414.519064,Four-Door Car,Medsize
KB20508,California,10828.37347,No,Extended,College,1/17/11,Medical Leave,M,11033,Suburban,Married,97,27,18,0,2,Special Auto,Special L1,Offer1,Branch,511.120131,Two-Door Car,Large
FU55433,Arizona,2671.817549,No,Basic,High School or Below,2/24/11,Employed,M,62452,Suburban,Married,67,1,9,0,1,Corporate Auto,Corporate L2,Offer2,Branch,407.776546,Two-Door Car,Medsize
NV91476,California,9581.281433,No,Premium,College,1/23/11,Employed,F,75606,Suburban,Married,119,6,97,0,7,Personal Auto,Personal L3,Offer1,Web,571.2,Four-Door Car,Medsize
NE79174,California,5386.512585,No,Basic,Bachelor,2/23/11,Employed,M,41228,Suburban,Married,70,2,99,3,7,Personal Auto,Personal L3,Offer2,Web,336.0,Two-Door Car,Medsize
WI29961,Nevada,5437.443727,No,Basic,High School or Below,3/2/2011,Employed,M,28343,Suburban,Married,69,19,88,0,8,Personal Auto,Personal L2,Offer2,Branch,331.2,Two-Door Car,Medsize
QJ57215,Nevada,4383.751482,No,Extended,College,1/25/11,Unemployed,F,0,Suburban,Single,123,14,97,0,1,Personal Auto,Personal L2,Offer1,Branch,1480.336748,SUV,Medsize
KS12294,California,15994.008,No,Premium,Bachelor,2/16/11,Unemployed,M,0,Suburban,Single,159,19,75,0,2,Personal Auto,Personal L3,Offer1,Web,1410.16929,SUV,Medsize
KX79225,Oregon,20123.86854,No,Basic,High School or Below,1/26/11,Unemployed,M,0,Suburban,Single,70,18,23,0,2,Personal Auto,Personal L2,Offer1,Call Center,504.0,Four-Door Car,Small
JQ68425,California,12919.41828,No,Basic,College,1/23/11,Employed,M,58236,Rural,Married,108,22,92,0,2,Corporate Auto,Corporate L2,Offer1,Agent,67.253453,SUV,Small
MQ15074,Washington,2499.498786,No,Basic,High School or Below,1/2/2011,Employed,M,28082,Suburban,Married,64,9,63,0,1,Personal Auto,Personal L2,Offer2,Branch,578.499499,Four-Door Car,Medsize
PU78245,Arizona,13094.60875,No,Basic,Bachelor,1/16/11,Employed,F,88249,Rural,Single,108,9,71,0,2,Personal Auto,Personal L3,Offer1,Agent,244.803741,SUV,Large
TW91179,Oregon,3861.486269,Yes,Extended,College,6/1/2011,Employed,F,93272,Urban,Married,95,3,54,0,1,Corporate Auto,Corporate L3,Offer2,Branch,281.110788,Four-Door Car,Medsize
SP93911,California,8828.933996,No,Premium,High School or Below,2/23/11,Employed,F,86721,Urban,Divorced,110,20,99,1,3,Corporate Auto,Corporate L1,Offer1,Agent,372.594847,Two-Door Car,Medsize
MR22119,Oregon,4430.572112,No,Basic,High School or Below,7/1/2011,Employed,M,24059,Suburban,Married,112,31,17,0,1,Personal Auto,Personal L3,Offer4,Web,537.6,SUV,Medsize
ZM70632,California,5498.753121,No,Extended,Bachelor,1/19/11,Employed,F,60668,Urban,Married,138,18,92,0,1,Personal Auto,Personal L3,Offer3,Branch,553.699596,SUV,Medsize
SB27146,Oregon,4369.041685,No,Premium,High School or Below,1/26/11,Employed,F,26026,Rural,Single,116,1,76,1,1,Personal Auto,Personal L3,Offer3,Agent,283.670312,Two-Door Car,Medsize
GK48045,Washington,8214.602384,No,Basic,College,6/1/2011,Employed,F,73245,Urban,Married,68,33,48,0,2,Personal Auto,Personal L3,Offer3,Branch,305.121363,Four-Door Car,Medsize
EP61197,Oregon,32643.07651,No,Premium,Master,5/1/2011,Employed,F,77915,Suburban,Married,115,4,61,0,2,Personal Auto,Personal L3,Offer3,Call Center,552.0,Four-Door Car,Small
JW62354,Nevada,4349.30875,Yes,Basic,College,10/2/2011,Employed,F,75648,Rural,Married,108,28,10,0,1,Personal Auto,Personal L1,Offer2,Branch,112.660916,SUV,Large
AT93647,California,2605.570828,No,Basic,College,5/1/2011,Employed,F,60252,Urban,Married,65,10,8,0,1,Personal Auto,Personal L2,Offer4,Agent,182.436205,Four-Door Car,Medsize
ZK21724,Oregon,4016.541995,No,Basic,High School or Below,10/2/2011,Unemployed,F,0,Suburban,Single,111,4,85,0,1,Personal Auto,Personal L1,Offer3,Call Center,799.2,SUV,Large
MM49431,Washington,7298.583562,No,Basic,Bachelor,8/1/2011,Employed,M,74069,Urban,Divorced,63,33,81,2,2,Personal Auto,Personal L3,Offer1,Agent,275.516438,Two-Door Car,Medsize
ZB50601,Nevada,5161.789881,No,Basic,College,10/2/2011,Unemployed,M,0,Suburban,Married,70,6,24,0,6,Personal Auto,Personal L3,Offer1,Web,469.491537,Four-Door Car,Medsize
IV37346,Oregon,7412.029748,No,Basic,College,1/1/2011,Employed,F,52497,Suburban,Divorced,63,22,46,0,2,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Two-Door Car,Small
YX67409,California,8058.659713,No,Basic,Bachelor,9/2/2011,Employed,M,25595,Suburban,Married,101,5,86,0,9,Personal Auto,Personal L2,Offer3,Call Center,484.8,SUV,Medsize
NB18234,Nevada,5384.015304,No,Basic,College,11/2/2011,Employed,F,30514,Rural,Single,72,3,87,2,6,Personal Auto,Personal L3,Offer1,Web,154.049617,Four-Door Car,Medsize
GQ42004,California,11232.9821,No,Basic,College,2/2/2011,Unemployed,M,0,Suburban,Married,74,12,68,0,2,Personal Auto,Personal L3,Offer2,Call Center,355.2,Four-Door Car,Small
ZH30674,Oregon,8408.308374,No,Premium,Bachelor,3/2/2011,Employed,M,84091,Urban,Married,105,18,48,0,9,Personal Auto,Personal L3,Offer3,Agent,380.560266,Four-Door Car,Medsize
NB79936,Washington,8346.983233,No,Premium,Bachelor,2/2/2011,Employed,M,48259,Rural,Single,108,14,79,0,3,Personal Auto,Personal L2,Offer1,Branch,73.700573,Two-Door Car,Medsize
No31089,Arizona,3179.474225,No,Extended,Bachelor,1/21/11,Employed,F,65742,Urban,Married,79,6,0,0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize
MJ60422,Arizona,6652.474492,No,Extended,Bachelor,9/2/2011,Employed,M,34886,Suburban,Married,84,3,40,0,5,Personal Auto,Personal L3,Offer1,Call Center,403.2,Two-Door Car,Small
UJ71101,California,17253.72944,No,Extended,High School or Below,2/19/11,Unemployed,M,0,Suburban,Single,124,2,85,0,2,Personal Auto,Personal L1,Offer3,Web,928.817071,Sports Car,Medsize
BM27144,California,7653.283759,No,Basic,College,1/31/11,Employed,F,57446,Rural,Divorced,64,20,30,0,2,Personal Auto,Personal L3,Offer1,Agent,77.451706,Four-Door Car,Medsize
EE49066,Oregon,4969.529102,No,Basic,High School or Below,9/2/2011,Employed,F,62365,Suburban,Married,62,0,99,0,8,Corporate Auto,Corporate L2,Offer3,Branch,297.6,Four-Door Car,Medsize
HW99293,Arizona,2869.743883,No,Basic,Bachelor,1/21/11,Employed,M,21234,Suburban,Married,73,8,23,0,1,Personal Auto,Personal L3,Offer2,Agent,378.333708,Four-Door Car,Medsize
HF44881,Arizona,4542.405346,No,Basic,High School or Below,6/1/2011,Employed,M,29875,Suburban,Single,119,9,36,1,1,Corporate Auto,Corporate L2,Offer1,Web,571.2,Sports Car,Medsize
IS58493,Oregon,4369.697742,No,Basic,Master,11/2/2011,Employed,M,40774,Urban,Married,110,28,59,1,1,Personal Auto,Personal L3,Offer1,Agent,394.968488,Sports Car,Medsize
FH39427,Nevada,8802.188243,No,Basic,Bachelor,1/29/11,Employed,M,96390,Urban,Married,73,17,47,0,2,Corporate Auto,Corporate L3,Offer4,Agent,316.977588,Two-Door Car,Medsize
HR71115,Nevada,5357.260833,No,Basic,College,4/1/2011,Employed,M,39604,Rural,Married,68,2,21,0,8,Personal Auto,Personal L3,Offer1,Branch,63.127223,Four-Door Car,Medsize
FM70419,Oregon,4740.202507,No,Basic,College,1/16/11,Unemployed,M,0,Suburban,Single,72,4,61,1,4,Personal Auto,Personal L3,Offer3,Web,518.4,Four-Door Car,Medsize
KR53335,Washington,7116.549068,No,Basic,Bachelor,6/2/2011,Unemployed,F,0,Suburban,Single,66,5,46,0,2,Personal Auto,Personal L2,Offer3,Branch,316.8,Four-Door Car,Small
DJ91267,Nevada,29091.23936,No,Extended,Bachelor,2/18/11,Employed,F,34226,Rural,Married,244,29,22,0,2,Personal Auto,Personal L3,Offer1,Agent,494.395024,Luxury SUV,Small
RA49085,California,2772.839235,No,Basic,College,2/28/11,Employed,F,37038,Rural,Married,71,6,97,1,1,Corporate Auto,Corporate L3,Offer4,Branch,9.071305,Four-Door Car,Large
ZG95780,Arizona,8164.31273,No,Basic,College,1/13/11,Disabled,M,11193,Suburban,Single,114,2,88,0,6,Personal Auto,Personal L2,Offer2,Agent,820.8,SUV,Small
XJ85947,Oregon,3118.927949,No,Extended,College,5/2/2011,Employed,F,88782,Urban,Divorced,78,6,38,0,1,Personal Auto,Personal L3,Offer4,Web,357.757645,Four-Door Car,Large
WC11272,Oregon,6907.554242,No,Extended,Bachelor,9/1/2011,Employed,F,42790,Urban,Married,87,10,74,0,3,Personal Auto,Personal L1,Offer1,Branch,290.057111,Two-Door Car,Medsize
GP39118,Washington,4996.552721,No,Basic,High School or Below,2/17/11,Employed,M,71600,Rural,Married,63,17,43,0,7,Personal Auto,Personal L2,Offer2,Call Center,46.158117,Two-Door Car,Medsize
GM83516,Arizona,2573.716859,No,Basic,College,7/1/2011,Employed,M,29500,Suburban,Divorced,67,14,72,0,1,Corporate Auto,Corporate L2,Offer2,Agent,321.6,Four-Door Car,Medsize
JM98365,Nevada,5762.472144,No,Basic,Doctor,1/23/11,Employed,M,66156,Suburban,Married,72,11,66,0,6,Personal Auto,Personal L2,Offer2,Web,345.6,Four-Door Car,Medsize
IJ74908,Nevada,13115.40751,No,Premium,Bachelor,4/2/2011,Employed,M,20705,Rural,Divorced,171,8,12,1,3,Personal Auto,Personal L3,Offer1,Call Center,237.264543,SUV,Medsize
ZI86917,Nevada,38320.82017,No,Basic,Bachelor,10/1/2011,Employed,M,45277,Suburban,Married,191,19,0,0,2,Special Auto,Special L2,Offer2,Agent,916.8,Luxury SUV,Medsize
LV14566,Nevada,7176.591051,No,Basic,Master,4/1/2011,Employed,M,27071,Suburban,Divorced,183,1,85,0,1,Personal Auto,Personal L1,Offer4,Branch,878.4,Luxury Car,Large
SO57563,Arizona,7381.914168,No,Extended,College,3/2/2011,Employed,M,54878,Rural,Married,96,5,11,3,9,Personal Auto,Personal L3,Offer3,Call Center,204.953947,Four-Door Car,Medsize
XO92596,California,6005.847375,Yes,Extended,College,2/23/11,Retired,M,13528,Suburban,Single,86,21,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize
EM77767,Oregon,10932.21496,No,Basic,College,2/19/11,Employed,F,72462,Urban,Married,68,8,70,0,2,Personal Auto,Personal L3,Offer2,Call Center,272.737308,Two-Door Car,Medsize
